team,home_venue
Los Angeles Lakers,Crypto.com Arena
Atlanta Hawks,State Farm Arena
Memphis Grizzlies,FedExForum
Denver Nuggets,Ball Arena
Boston Celtics,TD Garden
Cleveland Cavaliers,Rocket Mortgage FieldHouse
Phoenix Suns,Footprint Center
Charlotte Hornets,Spectrum Center
Utah Jazz,Delta Center
Detroit Pistons,Little Caesars Arena
LA Clippers,Crypto.com Arena
Brooklyn Nets,Barclays Center
Portland Trail Blazers,Moda Center
Miami Heat,Kaseya Center
Indiana Pacers,Gainbridge Fieldhouse
San Antonio Spurs,Frost Bank Center
New Orleans Pelicans,Smoothie King Center
New York Knicks,Madison Square Garden
Chicago Bulls,United Center
Sacramento Kings,Golden 1 Center
Philadelphia 76ers,Wells Fargo Center-PA
Dallas Mavericks,American Airlines Center - TX
Toronto Raptors,Scotiabank Arena
Golden State Warriors,Chase Center
Milwaukee Bucks,Fiserv Forum
Washington Wizards,Capital One Arena
Orlando Magic,Amway Center
Houston Rockets,Toyota Center - TX
Minnesota Timberwolves,Target Center
Oklahoma City Thunder,Paycom Center
Atlanta United,Mercedes-Benz Stadium
Austin FC,Q2 Stadium
Philadelphia Union,Subaru Park
New England Revolution,Gillette Stadium
FC Dallas,Toyota Stadium - Frisco
New York Red Bulls,Red Bull Arena
Portland Timbers,Providence Park
Houston Dynamo,Shell Energy Stadium
Inter Miami CF,DRV PNK Stadium
Chicago Fire,Soldier Field
New York City FC,Citi Field
FC Cincinnati,TQL Stadium
DC United,Audi Field
Real Salt Lake,America First Field
Colorado Rapids,Dicks Sporting Goods Park
Charlotte FC,Bank of America Stadium
New York City FC,Red Bull Arena
Vancouver Whitecaps,BC Place Stadium
Nashville SC,Geodis Park
Columbus Crew,Lower.com Field
Seattle Sounders FC,Lumen Field
Toronto FC,BMO Field
Orlando City SC,Exploria Stadium
Los Angeles FC,BMO Stadium
Minnesota United FC,Allianz Field
Los Angeles Galaxy,Dignity Health Sports Park
CF Montreal,Stade Saputo
Sporting Kansas City,Children's Mercy Park
San Jose Earthquakes,PayPal Park
New York Red Bulls,MSU Soccer Park at Pittser Field
Columbus Crew 2,Historic Crew Stadium
Orlando City B,Osceola County Stadium at Osceola Heritage Park
Buffalo Bills,Highmark Stadium
Philadelphia Eagles,Lincoln Financial Field
Tampa Bay Buccaneers,Raymond James Stadium
Cincinnati Bengals,Paycor Stadium
Dallas Cowboys,AT&T Stadium
Houston Texans,NRG Stadium
Detroit Lions,Ford Field
Baltimore Ravens,M&T Bank Stadium
New York Giants,MetLife Stadium
Arizona Cardinals,State Farm Stadium
Carolina Panthers,Bank of America Stadium
Minnesota Vikings,US Bank Stadium
Pittsburgh Steelers,Acrisure Stadium
Denver Broncos,Empower Field at Mile High
Seattle Seahawks,Lumen Field
Washington Commanders,FedExField
New Orleans Saints,Caesars Superdome
Miami Dolphins,Hard Rock Stadium
Cleveland Browns,Cleveland Browns Stadium
Green Bay Packers,Lambeau Field
Indianapolis Colts,Lucas Oil Stadium
Kansas City Chiefs,GEHA Field at Arrowhead Stadium
New England Patriots,Gillette Stadium
San Francisco 49ers,Levi's Stadium
Los Angeles Chargers,SoFi Stadium
Las Vegas Raiders,Allegiant Stadium
Chicago Bears,Soldier Field
Atlanta Falcons,Mercedes-Benz Stadium
Los Angeles Rams,SoFi Stadium
New York Jets,MetLife Stadium
Jacksonville Jaguars,EverBank Stadium
Tennessee Titans,Nissan Stadium
Anaheim Ducks,Honda Center
New York Islanders,UBS Arena
Detroit Red Wings,Little Caesars Arena
Nashville Predators,Bridgestone Arena
Carolina Hurricanes,PNC Arena
Minnesota Wild,Xcel Energy Center
Boston Bruins,TD Garden
Arizona Coyotes,Mullett Arena
Pittsburgh Penguins,PPG Paints Arena
Vancouver Canucks,Rogers Arena
Florida Panthers,FLA Live Arena
Chicago Blackhawks,United Center
Tampa Bay Lightning,Amalie Arena
Vegas Golden Knights,T-Mobile Arena
Seattle Kraken,Climate Pledge Arena
Columbus Blue Jackets,Nationwide Arena
New York Rangers,Madison Square Garden
San Jose Sharks,SAP Center
Calgary Flames,Scotiabank Saddledome
Washington Capitals,Capital One Arena
Edmonton Oilers,Rogers Place
Buffalo Sabres,KeyBank Center
Philadelphia Flyers,Wells Fargo Center-PA
Colorado Avalanche,Ball Arena
Dallas Stars,American Airlines Center - TX
Winnipeg Jets,Canada Life Centre
Toronto Maple Leafs,Scotiabank Arena
San Jose Sharks,Canada Life Centre
Calgary Flames,Rogers Arena
New York Rangers,SAP Center
Calgary Flames,Ball Arena
Vegas Golden Knights,Scotiabank Arena
Nashville Predators,Canada Life Centre
San Jose Sharks,Madison Square Garden
Calgary Flames,Scotiabank Arena
New York Rangers,Ball Arena
Calgary Flames,SAP Center
Seattle Kraken,Canada Life Centre
Washington Capitals,Rogers Arena
Calgary Flames,Amalie Arena
Edmonton Oilers,Canada Life Centre
Nashville Predators,Scotiabank Arena
Washington Capitals,Scotiabank Arena
Buffalo Sabres,Canada Life Centre
Tampa Bay Lightning,Rogers Arena
Buffalo Sabres,Scotiabank Arena
Seattle Kraken,Scotiabank Arena
New York Rangers,Canada Life Centre
Columbus Blue Jackets,KeyBank Center
Edmonton Oilers,Scotiabank Arena
Columbus Blue Jackets,Canada Life Centre
Tampa Bay Lightning,SAP Center
Columbus Blue Jackets,Rogers Arena
Edmonton Oilers,KeyBank Center
Vegas Golden Knights,Canada Life Centre
Columbus Blue Jackets,Scotiabank Arena
Tampa Bay Lightning,Canada Life Centre
New York Rangers,KeyBank Center
Tampa Bay Lightning,KeyBank Center
Vegas Golden Knights,KeyBank Center
Washington Capitals,KeyBank Center
Tampa Bay Lightning,Nationwide Arena
Edmonton Oilers,SAP Center
Philadelphia Flyers,Nationwide Arena
San Jose Sharks,Rogers Arena
Washington Capitals,Nationwide Arena
Washington Capitals,SAP Center
Edmonton Oilers,Nationwide Arena
Philadelphia Flyers,Rogers Arena
Philadelphia Flyers,SAP Center
Edmonton Oilers,Rogers Arena
Seattle Kraken,Rogers Arena
Philadelphia Flyers,Scotiabank Arena
San Jose Sharks,Scotiabank Arena
Colorado Avalanche,Scotiabank Arena
Washington Capitals,Crypto.com Arena
Philadelphia Flyers,Prudential Center
New York Rangers,Scotiabank Arena
Buffalo Sabres,Rogers Arena
Washington Capitals,Enterprise Center
Philadelphia Flyers,Crypto.com Arena
Seattle Kraken,Prudential Center
Edmonton Oilers,Enterprise Center
Tampa Bay Lightning,Prudential Center
Edmonton Oilers,Crypto.com Arena
Colorado Avalanche,Crypto.com Arena
Washington Capitals,Prudential Center
Seattle Kraken,Enterprise Center
New York Rangers,Crypto.com Arena
San Jose Sharks,Crypto.com Arena
Buffalo Sabres,Crypto.com Arena
Edmonton Oilers,Prudential Center
Seattle Kraken,Nationwide Arena
Colorado Avalanche,Prudential Center
Seattle Kraken,Crypto.com Arena
Tampa Bay Lightning,Enterprise Center
Vancouver Canucks,Crypto.com Arena
San Jose Sharks,Enterprise Center
Buffalo Sabres,Prudential Center
New York Rangers,Enterprise Center
Dallas Stars,Enterprise Center
Buffalo Sabres,Enterprise Center
Philadelphia Flyers,Honda Center
Dallas Stars,Honda Center
Tampa Bay Lightning,Honda Center
Dallas Stars,Prudential Center
Dallas Stars,Bell Centre
San Jose Sharks,Bell Centre
Edmonton Oilers,Bell Centre
Seattle Kraken,Bell Centre
New York Rangers,Bell Centre
Philadelphia Flyers,Bell Centre
Tampa Bay Lightning,Bell Centre
Buffalo Sabres,Bell Centre
Montreal Canadiens,Bell Centre
